"variable" "relative_importance" "scaled_importance" "percentage"
"1" "DMBT1" 1 1 0.00215459761636263
"2" "GPR1" 0.991041541099548 0.991041541099548 0.00213529574216943
"3" "CUZD1" 0.989669024944305 0.989669024944305 0.00213233852213293
"4" "PLA2G1B" 0.989075124263763 0.989075124263763 0.00213105890514228
"5" "ELOVL5" 0.984490931034088 0.984490931034088 0.00212118181333667
"6" "DNAJC12" 0.983822107315063 0.983822107315063 0.00211974076734589
"7" "ABCC9" 0.980085551738739 0.980085551738739 0.00211168999360774
"8" "APOH" 0.980043470859528 0.980043470859528 0.0021115993262457
"9" "SCUBE2" 0.977614343166351 0.977614343166351 0.00210636553350814
"10" "CTSE" 0.977250635623932 0.977250635623932 0.00210558189010419
"11" "SEMA3E" 0.977108955383301 0.977108955383301 0.00210527662619544
"12" "RGS4" 0.976995408535004 0.976995408535004 0.00210503197842675
"13" "OLR1" 0.976678669452667 0.976678669452667 0.00210434953315494
"14" "SLC26A2" 0.976035356521606 0.976035356521606 0.0021029634526471
"15" "SERPINE1" 0.975431203842163 0.975431203842163 0.00210166174672405
"16" "BTD" 0.974498152732849 0.974498152732849 0.00209965139702798
"17" "PIK3CD" 0.973820388317108 0.973820388317108 0.00209819108743337
"18" "HOXA10" 0.973793089389801 0.973793089389801 0.00209813226922967
"19" "ANPEP" 0.972793281078339 0.972793281078339 0.00209597808462497
"20" "CA4" 0.972678065299988 0.972678065299988 0.00209572984098357
"21" "RASSF9" 0.972573161125183 0.972573161125183 0.00209550381469859
"22" "SCGB2A1" 0.972309827804565 0.972309827804565 0.00209493643735367
"23" "LEF1" 0.972294986248016 0.972294986248016 0.00209490445977131
"24" "HSPB8" 0.971956789493561 0.971956789493561 0.0020941757818503
"25" "INS" 0.971878409385681 0.971878409385681 0.00209400690425669
"26" "PDZRN3" 0.971700549125671 0.971700549125671 0.00209362368696443
"27" "SEMA3G" 0.971650719642639 0.971650719642639 0.00209351632447906
"28" "SRR" 0.971246778964996 0.971246778964996 0.00209264599485786
"29" "NTS" 0.97102826833725 0.97102826833725 0.00209217519238017
"30" "PENK" 0.970598518848419 0.970598518848419 0.0020912492551559
"31" "MFAP5" 0.969957172870636 0.969957172870636 0.00208986741264091
"32" "KHSRP" 0.969888687133789 0.969888687133789 0.00208971985343554
"33" "PRKAR2B" 0.969688534736633 0.969688534736633 0.00208928860555772
"34" "ATP10B" 0.969504594802856 0.969504594802856 0.00208889228901485
"35" "LGI2" 0.969327747821808 0.969327747821808 0.00208851125493102
"36" "CILP" 0.968952834606171 0.968952834606171 0.00208770346781027
"37" "OGN" 0.968700647354126 0.968700647354126 0.00208716010575814
